date,stage,product,region,opportunity_count,pipeline_value_usd,weighted_value_usd
2026-02-25,Discovery,Platform,NA,12,567877,147648
2026-02-25,Qualification,Platform,NA,8,396554,188363
2026-02-25,Proposal,Platform,NA,7,336735,223928
2026-02-25,Negotiation,Platform,NA,4,264406,207294
2026-02-25,Closed Won,Platform,NA,3,158266,161431
2026-02-26,Discovery,Platform,NA,14,504755,127450
2026-02-26,Qualification,Platform,NA,9,407822,212067
2026-02-26,Proposal,Platform,NA,8,346744,252429
2026-02-26,Negotiation,Platform,NA,4,232741,180607
2026-02-26,Closed Won,Platform,NA,4,163241,164873
2026-02-27,Discovery,Platform,NA,16,543189,133081
2026-02-27,Qualification,Platform,NA,12,379691,187947
2026-02-27,Proposal,Platform,NA,8,322280,223340
2026-02-27,Negotiation,Platform,NA,6,250075,208062
2026-02-27,Closed Won,Platform,NA,4,153442,147304
2026-02-28,Discovery,Platform,NA,12,514565,127354
2026-02-28,Qualification,Platform,NA,8,359683,179841
2026-02-28,Proposal,Platform,NA,4,351123,233496
2026-02-28,Negotiation,Platform,NA,2,238352,181147
2026-02-28,Closed Won,Platform,NA,2,167617,165940
