date,city,country,country_iso,latitude,longitude,website_sessions,lead_submissions,orders_placed,revenue_usd,market
2026-02-09,Seattle,United States,US,47.6102,-122.3321,651,20,6,1654.0,na
2026-02-09,Ashburn,United States,US,39.0118,-77.4754,517,16,5,1250.0,na
2026-02-09,Singapore,Singapore,SG,1.3361,103.8478,520,16,5,1415.0,apac
2026-02-10,Evesham,United Kingdom,GB,52.06,-1.972,866,26,8,2197.0,uk_home
2026-02-10,Malvern,United Kingdom,GB,52.117,-2.322,786,23,7,1967.5,uk_home
2026-02-10,Honeybourne,United Kingdom,GB,52.104,-1.798,626,18,5,1370.0,uk_home
2026-02-10,Worcester,United Kingdom,GB,52.171,-2.212,786,23,7,1785.5,uk_home
2026-02-10,Birmingham,United Kingdom,GB,52.498,-1.914,988,29,9,2297.5,uk_home
2026-02-10,London,United Kingdom,GB,51.4834,-0.0958,1123,33,10,2972.5,uk_home
2026-02-10,Dublin,Ireland,IE,53.3458,-6.2603,715,21,6,1744.5,eu
2026-02-10,Frankfurt,Germany,DE,50.1309,8.7061,573,17,5,1257.5,eu
2026-02-10,Amsterdam,Netherlands,NL,52.3596,4.9041,526,15,4,1155.5,eu
2026-02-10,New York,United States,US,40.7368,-73.994,972,29,9,2234.5,na
2026-02-10,Seattle,United States,US,47.6302,-122.3001,621,18,5,1405.0,na
2026-02-10,Ashburn,United States,US,39.0118,-77.4754,499,15,4,1035.5,na
2026-02-10,Singapore,Singapore,SG,1.3521,103.7878,496,15,4,1167.5,apac
2026-02-11,Evesham,United Kingdom,GB,52.1,-1.936,871,25,7,1964.5,uk_home
2026-02-11,Malvern,United Kingdom,GB,52.081,-2.338,754,22,6,1727.0,uk_home
2026-02-11,Honeybourne,United Kingdom,GB,52.084,-1.758,630,18,5,1380.0,uk_home
2026-02-11,Worcester,United Kingdom,GB,52.219,-2.184,791,23,7,1799.5,uk_home
2026-02-11,Birmingham,United Kingdom,GB,52.51,-1.866,947,27,8,2073.5,uk_home
2026-02-11,London,United Kingdom,GB,51.4954,-0.1318,1084,31,9,2709.5,uk_home
2026-02-11,Dublin,Ireland,IE,53.3738,-6.2323,700,20,6,1744.0,eu
2026-02-11,Frankfurt,Germany,DE,50.1309,8.6741,576,16,5,1255.0,eu
2026-02-11,Amsterdam,Netherlands,NL,52.3436,4.8681,515,15,4,1163.5,eu
2026-02-11,New York,United States,US,40.7128,-74.01,964,28,8,2030.0,na
2026-02-11,Seattle,United States,US,47.5942,-122.3561,602,17,5,1402.5,na
2026-02-11,Ashburn,United States,US,39.0198,-77.5234,489,14,4,1031.0,na
2026-02-11,Singapore,Singapore,SG,1.3481,103.8118,478,13,4,1150.5,apac
2026-02-12,Evesham,United Kingdom,GB,52.104,-1.976,894,25,7,1978.5,uk_home
2026-02-12,Malvern,United Kingdom,GB,52.109,-2.334,736,20,6,1714.0,uk_home
2026-02-12,Honeybourne,United Kingdom,GB,52.096,-1.758,645,18,5,1390.0,uk_home
2026-02-12,Worcester,United Kingdom,GB,52.187,-2.22,811,23,7,1813.5,uk_home
2026-02-12,Birmingham,United Kingdom,GB,52.514,-1.902,924,26,8,2077.0,uk_home
2026-02-12,London,United Kingdom,GB,51.5074,-0.1598,1070,30,9,2715.0,uk_home
2026-02-12,Dublin,Ireland,IE,53.3178,-6.2603,701,19,6,1743.5,eu
2026-02-12,Frankfurt,Germany,DE,50.1349,8.6461,590,16,5,1265.0,eu
2026-02-12,Amsterdam,Netherlands,NL,52.3996,4.8881,516,14,4,1159.0,eu
2026-02-12,New York,United States,US,40.7048,-74.018,979,27,8,2033.5,na
2026-02-12,Seattle,United States,US,47.6142,-122.3281,595,16,5,1400.0,na
2026-02-12,Ashburn,United States,US,39.0118,-77.5034,489,13,4,1026.5,na
2026-02-12,Singapore,Singapore,SG,1.3281,103.7958,468,13,4,1158.5,apac
2026-02-13,Evesham,United Kingdom,GB,52.104,-1.968,934,26,8,2245.0,uk_home
2026-02-13,Malvern,United Kingdom,GB,52.141,-2.354,733,20,6,1726.0,uk_home
2026-02-13,Honeybourne,United Kingdom,GB,52.088,-1.734,672,18,5,1400.0,uk_home
2026-02-13,Worcester,United Kingdom,GB,52.223,-2.2,846,23,7,1827.5,uk_home
2026-02-13,Birmingham,United Kingdom,GB,52.474,-1.914,920,25,8,2080.5,uk_home
2026-02-13,London,United Kingdom,GB,51.5154,-0.1278,1081,30,9,2733.0,uk_home
2026-02-13,Dublin,Ireland,IE,53.3658,-6.2363,717,20,6,1768.0,eu
2026-02-13,Frankfurt,Germany,DE,50.0909,8.7181,614,17,5,1287.5,eu
2026-02-13,Amsterdam,Netherlands,NL,52.3836,4.9161,527,14,4,1167.0,eu
2026-02-13,New York,United States,US,40.7448,-74.042,1015,28,8,2062.0,na
2026-02-13,Seattle,United States,US,47.6342,-122.3241,600,16,5,1410.0,na
2026-02-13,Ashburn,United States,US,39.0558,-77.5074,500,14,4,1047.0,na
2026-02-13,Singapore,Singapore,SG,1.3241,103.7998,466,13,4,1166.5,apac
2026-02-14,Evesham,United Kingdom,GB,52.076,-1.968,985,27,8,2273.5,uk_home
2026-02-14,Malvern,United Kingdom,GB,52.137,-2.338,746,20,6,1738.0,uk_home
2026-02-14,Honeybourne,United Kingdom,GB,52.076,-1.77,707,19,6,1659.5,uk_home
2026-02-14,Worcester,United Kingdom,GB,52.203,-2.216,893,25,8,2088.5,uk_home
2026-02-14,Birmingham,United Kingdom,GB,52.462,-1.914,936,26,8,2109.0,uk_home
2026-02-14,London,United Kingdom,GB,51.5154,-0.0998,1116,31,10,3027.5,uk_home
2026-02-14,Dublin,Ireland,IE,53.3298,-6.2363,747,20,6,1780.0,eu
2026-02-14,Frankfurt,Germany,DE,50.0909,8.6541,645,18,5,1310.0,eu
2026-02-14,Amsterdam,Netherlands,NL,52.3916,4.8721,547,15,4,1187.5,eu
2026-02-14,New York,United States,US,40.6888,-74.022,1068,29,9,2306.5,na
2026-02-14,Seattle,United States,US,47.5902,-122.3361,618,17,5,1432.5,na
2026-02-14,Ashburn,United States,US,39.0758,-77.5194,519,14,4,1055.0,na
2026-02-14,Singapore,Singapore,SG,1.3281,103.8078,473,13,4,1174.5,apac
2026-02-15,Evesham,United Kingdom,GB,52.06,-1.98,1044,29,9,2558.5,uk_home
2026-02-15,Malvern,United Kingdom,GB,52.109,-2.29,772,21,7,2012.5,uk_home
2026-02-15,Honeybourne,United Kingdom,GB,52.072,-1.75,747,21,6,1696.5,uk_home
2026-02-15,Worcester,United Kingdom,GB,52.215,-2.252,945,26,8,2117.0,uk_home
2026-02-15,Birmingham,United Kingdom,GB,52.506,-1.886,971,27,9,2362.5,uk_home
2026-02-15,London,United Kingdom,GB,51.5194,-0.1438,1173,33,10,3072.5,uk_home
2026-02-15,Dublin,Ireland,IE,53.3658,-6.2763,788,22,7,2074.0,eu
2026-02-15,Frankfurt,Germany,DE,50.1149,8.7021,681,19,6,1551.5,eu
2026-02-15,Amsterdam,Netherlands,NL,52.3756,4.9041,576,16,5,1460.0,eu
2026-02-15,New York,United States,US,40.7368,-73.982,1134,32,10,2580.0,na
2026-02-15,Seattle,United States,US,47.6382,-122.3641,646,18,6,1701.0,na
2026-02-15,Ashburn,United States,US,39.0638,-77.4914,545,15,5,1297.5,na
2026-02-15,Singapore,Singapore,SG,1.3321,103.7958,489,13,4,1182.5,apac
2026-02-16,Evesham,United Kingdom,GB,52.124,-1.936,1103,32,10,2860.0,uk_home
2026-02-16,Malvern,United Kingdom,GB,52.137,-2.314,811,23,7,2051.5,uk_home
2026-02-16,Honeybourne,United Kingdom,GB,52.108,-1.746,787,23,7,1974.5,uk_home
2026-02-16,Worcester,United Kingdom,GB,52.207,-2.252,997,29,9,2396.5,uk_home
2026-02-16,Birmingham,United Kingdom,GB,52.458,-1.898,1022,29,9,2405.5,uk_home
2026-02-16,London,United Kingdom,GB,51.5314,-0.1558,1245,36,12,3666.0,uk_home
2026-02-16,Dublin,Ireland,IE,53.3338,-6.2283,837,24,8,2372.0,eu
2026-02-16,Frankfurt,Germany,DE,50.1189,8.6461,716,20,6,1576.0,eu
2026-02-16,Amsterdam,Netherlands,NL,52.3396,4.8881,609,17,5,1482.5,eu
2026-02-16,New York,United States,US,40.7368,-74.002,1206,35,11,2857.5,na
2026-02-16,Seattle,United States,US,47.5782,-122.3241,682,19,6,1725.5,na
2026-02-16,Ashburn,United States,US,39.0118,-77.4634,576,16,5,1320.0,na
2026-02-16,Singapore,Singapore,SG,1.3441,103.8158,511,14,4,1203.0,apac
2026-02-17,Evesham,United Kingdom,GB,52.124,-1.98,1154,35,11,3165.5,uk_home
2026-02-17,Malvern,United Kingdom,GB,52.089,-2.354,858,26,8,2357.0,uk_home
2026-02-17,Honeybourne,United Kingdom,GB,52.116,-1.75,821,24,8,2244.0,uk_home
2026-02-17,Worcester,United Kingdom,GB,52.179,-2.212,1043,31,10,2667.5,uk_home
2026-02-17,Birmingham,United Kingdom,GB,52.51,-1.906,1083,32,11,2919.0,uk_home
2026-02-17,London,United Kingdom,GB,51.4914,-0.1478,1325,40,13,4010.0,uk_home
2026-02-17,Dublin,Ireland,IE,53.3738,-6.2803,887,26,9,2674.0,eu
2026-02-17,Frankfurt,Germany,DE,50.1349,8.6581,748,22,7,1836.0,eu
2026-02-17,Amsterdam,Netherlands,NL,52.3436,4.8681,643,19,6,1773.5,eu
2026-02-17,New York,United States,US,40.7368,-74.022,1274,38,13,3361.0,na
2026-02-17,Seattle,United States,US,47.6222,-122.3481,722,21,7,2012.5,na
2026-02-17,Ashburn,United States,US,39.0758,-77.4834,608,18,6,1581.0,na
2026-02-17,Singapore,Singapore,SG,1.3761,103.8238,537,16,5,1495.0,apac
2026-02-18,Evesham,United Kingdom,GB,52.108,-1.98,1191,37,12,3462.5,uk_home
2026-02-18,Malvern,United Kingdom,GB,52.105,-2.29,908,28,9,2654.0,uk_home
2026-02-18,Honeybourne,United Kingdom,GB,52.132,-1.742,847,26,9,2530.0,uk_home
2026-02-18,Worcester,United Kingdom,GB,52.187,-2.212,1076,33,11,2942.5,uk_home
2026-02-18,Birmingham,United Kingdom,GB,52.47,-1.882,1148,36,12,3222.0,uk_home
2026-02-18,London,United Kingdom,GB,51.5354,-0.1478,1404,44,15,4630.0,uk_home
2026-02-18,Dublin,Ireland,IE,53.3418,-6.2843,931,29,9,2729.5,eu
2026-02-18,Frankfurt,Germany,DE,50.0949,8.6661,770,24,8,2100.0,eu
2026-02-18,Amsterdam,Netherlands,NL,52.3876,4.8681,673,21,7,2068.5,eu
2026-02-18,New York,United States,US,40.7128,-74.01,1329,41,14,3648.5,na
2026-02-18,Seattle,United States,US,47.6182,-122.3641,762,24,8,2316.0,na
2026-02-18,Ashburn,United States,US,39.0478,-77.4994,636,20,6,1618.0,na
2026-02-18,Singapore,Singapore,SG,1.3521,103.8438,565,17,6,1778.5,apac
2026-02-19,Evesham,United Kingdom,GB,52.092,-1.968,797,24,7,2064.0,uk_home
2026-02-19,Malvern,United Kingdom,GB,52.125,-2.326,629,19,5,1527.5,uk_home
2026-02-19,Honeybourne,United Kingdom,GB,52.092,-1.77,566,17,5,1447.5,uk_home
2026-02-19,Worcester,United Kingdom,GB,52.215,-2.232,720,21,6,1654.5,uk_home
2026-02-19,Birmingham,United Kingdom,GB,52.482,-1.926,797,24,7,1931.0,uk_home
2026-02-19,London,United Kingdom,GB,51.4874,-0.1558,970,29,9,2828.5,uk_home
2026-02-19,Dublin,Ireland,IE,53.3338,-6.2843,868,27,8,2457.5,eu
2026-02-19,Frankfurt,Germany,DE,50.0869,8.6821,702,22,6,1637.0,eu
2026-02-19,Amsterdam,Netherlands,NL,52.3436,4.8961,626,19,5,1537.5,eu
2026-02-19,New York,United States,US,40.7048,-74.002,1282,40,13,3438.0,na
2026-02-19,Seattle,United States,US,47.6382,-122.3201,747,23,7,2065.5,na
2026-02-19,Ashburn,United States,US,39.0118,-77.4714,618,19,6,1617.5,na
2026-02-19,Singapore,Singapore,SG,1.3841,103.8038,567,17,5,1527.5,apac
2026-02-20,Evesham,United Kingdom,GB,52.06,-1.948,1202,40,13,3802.0,uk_home
2026-02-20,Malvern,United Kingdom,GB,52.141,-2.294,990,33,11,3272.5,uk_home
2026-02-20,Honeybourne,United Kingdom,GB,52.092,-1.754,854,28,9,2591.0,uk_home
2026-02-20,Worcester,United Kingdom,GB,52.175,-2.256,1086,36,12,3258.0,uk_home
2026-02-20,Birmingham,United Kingdom,GB,52.498,-1.922,1255,42,14,3815.0,uk_home
2026-02-20,London,United Kingdom,GB,51.4994,-0.1638,1515,51,17,5329.5,uk_home
2026-02-20,Dublin,Ireland,IE,53.3738,-6.2803,983,33,11,3349.5,eu
2026-02-20,Frankfurt,Germany,DE,50.0909,8.6861,777,26,8,2157.0,eu
2026-02-20,Amsterdam,Netherlands,NL,52.3676,4.8881,708,23,8,2383.5,eu
2026-02-20,New York,United States,US,40.6808,-74.01,1374,46,15,3995.0,na
2026-02-20,Seattle,United States,US,47.5902,-122.3481,817,27,9,2641.5,na
2026-02-20,Ashburn,United States,US,39.0518,-77.4594,669,22,7,1899.0,na
2026-02-20,Singapore,Singapore,SG,1.3721,103.8158,611,20,7,2105.0,apac
2026-02-21,Evesham,United Kingdom,GB,52.104,-1.944,1174,40,13,3828.0,uk_home
2026-02-21,Malvern,United Kingdom,GB,52.085,-2.358,1010,34,11,3307.0,uk_home
2026-02-21,Honeybourne,United Kingdom,GB,52.128,-1.778,835,28,9,2609.0,uk_home
2026-02-21,Worcester,United Kingdom,GB,52.203,-2.228,1061,36,12,3282.0,uk_home
2026-02-21,Birmingham,United Kingdom,GB,52.51,-1.906,1281,44,14,3868.0,uk_home
2026-02-21,London,United Kingdom,GB,51.4794,-0.1158,1531,52,17,5376.0,uk_home
2026-02-21,Dublin,Ireland,IE,53.3618,-6.2483,981,33,11,3371.5,eu
2026-02-21,Frankfurt,Germany,DE,50.1229,8.6541,760,26,8,2173.0,eu
2026-02-21,Amsterdam,Netherlands,NL,52.3956,4.9081,707,24,8,2412.0,eu
2026-02-21,New York,United States,US,40.7248,-73.994,1356,46,15,4025.0,na
2026-02-21,Seattle,United States,US,47.6302,-122.3241,825,28,9,2672.0,na
2026-02-21,Ashburn,United States,US,39.0518,-77.5194,668,23,7,1925.5,na
2026-02-21,Singapore,Singapore,SG,1.3601,103.8158,623,21,7,2131.5,apac
2026-02-22,Evesham,United Kingdom,GB,52.064,-1.948,1129,39,13,3841.5,uk_home
2026-02-22,Malvern,United Kingdom,GB,52.125,-2.326,1013,35,11,3341.5,uk_home
2026-02-22,Honeybourne,United Kingdom,GB,52.1,-1.758,804,28,9,2627.0,uk_home
2026-02-22,Worcester,United Kingdom,GB,52.223,-2.188,1021,35,11,3055.5,uk_home
2026-02-22,Birmingham,United Kingdom,GB,52.466,-1.854,1285,44,14,3896.0,uk_home
2026-02-22,London,United Kingdom,GB,51.5354,-0.1558,1517,53,17,5422.5,uk_home
2026-02-22,Dublin,Ireland,IE,53.3378,-6.2403,962,33,11,3393.5,eu
2026-02-22,Frankfurt,Germany,DE,50.1189,8.6461,732,25,8,2176.5,eu
2026-02-22,Amsterdam,Netherlands,NL,52.3756,4.9361,694,24,8,2428.0,eu
2026-02-22,New York,United States,US,40.6928,-73.982,1314,45,15,4042.5,na
2026-02-22,Seattle,United States,US,47.6262,-122.3041,818,28,9,2690.0,na
2026-02-22,Ashburn,United States,US,39.0358,-77.5034,655,22,7,1927.0,na
2026-02-22,Singapore,Singapore,SG,1.3241,103.7878,624,21,7,2145.5,apac
2026-02-23,Evesham,United Kingdom,GB,52.116,-1.984,1072,37,12,3582.5,uk_home
2026-02-23,Malvern,United Kingdom,GB,52.125,-2.362,997,34,11,3351.0,uk_home
2026-02-23,Honeybourne,United Kingdom,GB,52.1,-1.79,766,26,8,2365.0,uk_home
2026-02-23,Worcester,United Kingdom,GB,52.203,-2.216,970,33,11,3052.5,uk_home
2026-02-23,Birmingham,United Kingdom,GB,52.478,-1.862,1264,44,14,3924.0,uk_home
2026-02-23,London,United Kingdom,GB,51.4914,-0.1118,1474,51,16,5149.5,uk_home
2026-02-23,Dublin,Ireland,IE,53.3458,-6.2363,927,32,10,3130.0,eu
2026-02-23,Frankfurt,Germany,DE,50.1109,8.7101,698,24,7,1945.0,eu
2026-02-23,Amsterdam,Netherlands,NL,52.3516,4.9401,670,23,7,2163.5,eu
2026-02-23,New York,United States,US,40.6968,-73.986,1253,43,14,3813.5,na
2026-02-23,Seattle,United States,US,47.5862,-122.3481,797,27,9,2695.5,na
2026-02-23,Ashburn,United States,US,39.0718,-77.4794,633,22,7,1941.0,na
2026-02-23,Singapore,Singapore,SG,1.3721,103.7838,615,21,7,2159.5,apac
2026-02-24,Evesham,United Kingdom,GB,52.1,-1.964,1012,34,11,3307.0,uk_home
2026-02-24,Malvern,United Kingdom,GB,52.097,-2.302,965,33,10,3092.5,uk_home
2026-02-24,Honeybourne,United Kingdom,GB,52.092,-1.742,725,25,8,2368.5,uk_home
2026-02-24,Worcester,United Kingdom,GB,52.211,-2.216,916,31,10,2807.5,uk_home
2026-02-24,Birmingham,United Kingdom,GB,52.458,-1.918,1222,42,13,3684.0,uk_home
2026-02-24,London,United Kingdom,GB,51.5154,-0.1598,1409,48,15,4860.0,uk_home
2026-02-24,Dublin,Ireland,IE,53.3658,-6.2603,881,30,9,2850.0,eu
